seed,method,cohort,call,phase,candidate_id,feasible,qor,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s,fallback_used,p_feas,ei,calibration_detail
137,ei_only_ablation,extension,9,adaptive,cb36_000,False,,-0.09306823743826212,6243.930258204011,6848.10515431501,0.002017577993683517,False,1.0,0.0,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,10,adaptive,cb36_001,True,0.3112996180098017,-0.09306823743826212,6243.930258204011,7636.4878694790095,0.0038548739976249635,False,1.0,0.0,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,11,adaptive,cb36_010,True,-0.09306823743826212,-0.09306823743826212,6243.930258204011,8248.362604841015,0.016292222993797623,False,1.0,0.019004924263057714,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,12,adaptive,cb36_034,False,,-0.09306823743826212,6821.941921697013,8826.374268334017,0.024426094998489134,False,1.0,0.035357613823210704,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,13,adaptive,cb36_030,False,,-0.09306823743826212,7403.039607369006,9407.47195400601,0.031771520007168874,False,1.0,0.03535760028297044,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,14,adaptive,cb36_018,False,,-0.09306823743826212,8740.33914926801,10744.771495905014,0.03909326500433963,False,1.0,0.034594032357005075,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,15,adaptive,cb36_026,False,,-0.09306823743826212,9325.298018094996,11329.730364732,0.04617760800465476,False,1.0,0.02956875443294012,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,16,adaptive,cb36_035,False,,-0.09306823743826212,9826.283342198003,11830.715688835007,0.05796695200842805,False,1.0,0.028043782139294204,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,17,adaptive,cb36_032,False,,-0.09306823743826212,10582.250957773998,12586.683304411003,0.06759763701120391,False,1.0,0.028043782139294184,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,18,adaptive,cb36_023,False,,-0.09306823743826212,11122.014213294999,13126.446559932003,0.07653499500884209,False,1.0,0.02723987133023256,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,19,adaptive,cb36_020,False,,-0.09306823743826212,11878.873783340998,13883.306129978002,0.08728273000451736,False,1.0,0.027239871330232552,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,20,adaptive,cb36_011,False,,-0.09306823743826212,12576.546065289993,14580.978411926997,0.09732705900387373,False,1.0,0.025296803598701872,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,21,adaptive,cb36_031,False,,-0.09306823743826212,13077.148058929,15081.580405566005,0.10824503500771243,False,1.0,0.023988951711395118,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,22,adaptive,cb36_028,False,,-0.09306823743826212,13836.442933137005,15840.875279774009,0.11598666301870253,False,1.0,0.023988951711395097,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,23,adaptive,cb36_024,False,,-0.09306823743826212,14596.098690571001,16600.531037208006,0.1241586540127173,False,1.0,0.019653547827771744,"ei-only: no feasibility classifier, p_feas=1.0"
137,ei_only_ablation,extension,24,adaptive,cb36_019,False,,-0.09306823743826212,15131.151863968,17135.584210605004,0.13138455801527016,False,1.0,0.017925084906554218,"ei-only: no feasibility classifier, p_feas=1.0"
139,vanilla_bo_penalty,extension,1,shared_init,cb36_029,False,,,517.6829417809931,517.6829417809931,0.0,False,,,
139,vanilla_bo_penalty,extension,2,shared_init,cb36_018,False,,,1854.9824836799962,1854.9824836799962,0.0,False,,,
139,vanilla_bo_penalty,extension,3,shared_init,cb36_023,False,,,2394.7457392009965,2394.7457392009965,0.0,False,,,
139,vanilla_bo_penalty,extension,4,shared_init,cb36_004,False,,,3066.7749650319965,3066.7749650319965,0.0,False,,,
139,vanilla_bo_penalty,extension,5,shared_init,cb36_012,False,,,3822.4134601889964,3822.4134601889964,0.0,False,,,
139,vanilla_bo_penalty,extension,6,shared_init,cb36_020,False,,,4579.2730302349955,4579.2730302349955,0.0,False,,,
139,vanilla_bo_penalty,extension,7,shared_init,cb36_002,True,-0.09306823743826212,-0.09306823743826212,4579.2730302349955,5187.073720488996,0.0,False,,,
139,vanilla_bo_penalty,extension,8,shared_init,cb36_013,False,,-0.09306823743826212,5161.236308160995,5769.036998414995,0.0,False,,,
139,vanilla_bo_penalty,extension,9,adaptive,cb36_006,True,-0.09306823743826212,-0.09306823743826212,5161.236308160995,6373.211894525994,0.008753597008762881,False,1.0,0.0004579576108036964,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,10,adaptive,cb36_010,True,-0.09306823743826212,-0.09306823743826212,5161.236308160995,6985.086629887999,0.016582746015046723,False,1.0,0.011075880609080276,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,11,adaptive,cb36_003,False,,-0.09306823743826212,5863.39577844899,7687.246100175995,0.027206639017094858,False,1.0,0.02206741752315408,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,12,adaptive,cb36_009,True,0.3112996180098017,-0.09306823743826212,5863.39577844899,8475.876083157993,0.03425886100740172,False,1.0,0.006581423619036738,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,13,adaptive,cb36_005,True,0.3112996180098017,-0.09306823743826212,5863.39577844899,9258.912194663993,0.04195516899926588,False,1.0,0.007860540851848452,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,14,adaptive,cb36_027,False,,-0.09306823743826212,6370.151017592987,9765.66743380799,0.048248985011014156,False,1.0,0.007761911248904699,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,15,adaptive,cb36_021,False,,-0.09306823743826212,6949.847598921988,10345.364015136991,0.05603765400883276,False,1.0,0.00426611141448929,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,16,adaptive,cb36_011,False,,-0.09306823743826212,7647.519880870983,11043.036297085986,0.062325069011421874,False,1.0,0.003479087590319282,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,17,adaptive,cb36_014,False,,-0.09306823743826212,8985.66152348798,12381.177939702982,0.06854292401112616,False,1.0,0.0024902526168091195,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,18,adaptive,cb36_022,False,,-0.09306823743826212,10330.857078469991,13726.373494684995,0.07520654202380683,False,1.0,0.002702388558855051,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,19,adaptive,cb36_028,False,,-0.09306823743826212,11090.151952677996,14485.668368892999,0.0823644850315759,False,1.0,0.0018248352467871657,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,20,adaptive,cb36_001,True,0.3112996180098017,-0.09306823743826212,11090.151952677996,15274.051084056999,0.0919630100397626,False,1.0,0.0011543938111187053,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,21,adaptive,cb36_035,False,,-0.09306823743826212,11591.137276781003,15775.036408160006,0.09865430904028472,False,1.0,0.0009920732239562602,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,22,adaptive,cb36_008,False,,-0.09306823743826212,12241.042197877003,16424.941329256006,0.10795651104126591,False,1.0,0.00044774456758816476,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,23,adaptive,cb36_000,False,,-0.09306823743826212,12887.853248220003,17071.752379599006,0.11528425604046788,False,1.0,0.00044448420963547194,vanilla-bo: no feasibility model
139,vanilla_bo_penalty,extension,24,adaptive,cb36_024,False,,-0.09306823743826212,13647.509005654,17831.408137033002,0.12491654104087502,False,1.0,0.00015115610846304253,vanilla-bo: no feasibility model
