seed,method,call,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s
103,vanilla_bo_penalty,3,-0.093068237,722.928,1934.903,0.0000
103,vanilla_bo_penalty,4,-0.093068237,1304.026,2516.001,0.0000
103,vanilla_bo_penalty,5,-0.093068237,2060.916,3272.891,0.0000
103,vanilla_bo_penalty,6,-0.093068237,2060.916,4061.521,0.0000
103,vanilla_bo_penalty,7,-0.093068237,3398.215,5398.821,0.0000
103,vanilla_bo_penalty,8,-0.093068237,3937.978,5938.584,0.0000
103,vanilla_bo_penalty,9,-0.093068237,3937.978,6550.459,0.0111
103,vanilla_bo_penalty,10,-0.093068237,4587.883,7200.364,0.0204
103,vanilla_bo_penalty,11,-0.093068237,4587.883,7983.400,0.0266
103,vanilla_bo_penalty,12,-0.093068237,5169.847,8565.363,0.0327
103,vanilla_bo_penalty,13,-0.093068237,5749.543,9145.060,0.0424
103,vanilla_bo_penalty,14,-0.093068237,6396.354,9791.871,0.0504
103,vanilla_bo_penalty,15,-0.093068237,6903.110,10298.626,0.0614
103,vanilla_bo_penalty,16,-0.093068237,7662.765,11058.282,0.0711
103,vanilla_bo_penalty,17,-0.093068237,8418.733,11814.249,0.0781
103,vanilla_bo_penalty,18,-0.093068237,9756.875,13152.391,0.0884
103,vanilla_bo_penalty,19,-0.093068237,11102.070,14497.587,0.0970
103,vanilla_bo_penalty,20,-0.093068237,11102.070,15285.969,0.1077
103,vanilla_bo_penalty,21,-0.093068237,11804.230,15988.129,0.1160
103,vanilla_bo_penalty,22,-0.093068237,12321.913,16505.812,0.1270
103,vanilla_bo_penalty,23,-0.093068237,12822.898,17006.797,0.1344
103,vanilla_bo_penalty,24,-0.093068237,13520.570,17704.469,0.1455
103,flowguard_calibrated,1,-0.093068237,0.000,607.801,0.0000
103,flowguard_calibrated,2,-0.093068237,0.000,1211.976,0.0000
103,flowguard_calibrated,3,-0.093068237,722.928,1934.903,0.0000
103,flowguard_calibrated,4,-0.093068237,1304.026,2516.001,0.0000
